Carl Schmertmann,,Complete Set of CT & QS Fits to 226 5-year schedules,,,,,,,,,,,,,,,,,,
26 May 2003,,Source for Original Data: US Census International Database,,,,,,,,,,,,,,,,,,
,,http://www.census.gov/ipc/www/idbacc.html    [downloaded on 17 June 2002],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,US Census Data Base (1000 5fx),,,,,,,,,COALE-TRUSSELL FIT,,,,,,QS FIT,,,,
2002 SCHEDULE,TFR,5f15,5f20,5f25,5f30,5f35,5f40,5f45,,tfr,a0,k,m,RE,,R,alpha,P,H,RE
Micronesia,3.83,67.1,198.6,220.0,154.6,89.3,32.3,4.6,,3.84,11.4,1.18,1.21,0.5,,0.231,12.5,25.3,35.2,0.8
Moldova,1.71,55.0,128.6,94.1,43.6,15.7,3.7,0.4,,1.72,12.1,0.78,2.16,0.7,,0.134,13.7,22.6,29.9,0.6
Monaco,1.76,9.4,71.9,133.8,91.4,36.7,8.5,0.8,,1.75,16.7,2.18,3.20,2.1,,0.138,15.8,28.1,34.2,2.2
Mongolia,2.37,29.2,158.8,138.5,82.0,42.9,16.6,5.8,,2.35,16.2,0.37,1.20,1.5,,0.169,16.5,22.7,32.3,1.6
Montenegro,1.95,20.1,105.8,130.6,87.1,35.5,9.1,1.3,,1.96,13.4,1.49,2.13,3.4,,0.140,14.4,26.2,33.7,3.4
Montserrat,1.81,16.1,77.0,126.3,92.8,36.2,11.8,1.8,,1.79,15.2,2.49,2.85,4.8,,0.131,13.7,28.3,34.5,1.1
Morocco,2.97,27.6,103.7,158.7,142.7,91.7,49.6,20.1,,2.88,12.5,1.33,0.78,6.5,,0.161,12.8,27.9,39.1,3.7
Mozambique,4.71,135.3,222.1,207.9,174.4,105.7,76.0,19.7,,4.65,11.9,0.46,0.30,5.8,,0.224,12.0,21.7,38.4,4.8
Namibia,4.77,92.9,183.6,221.0,189.8,145.2,90.1,31.3,,4.68,10.3,0.84,0.11,6.7,,0.216,6.8,26.1,41.1,3.9
Nauru,3.50,56.9,171.1,196.4,158.7,101.9,15.0,0.4,,3.59,9.3,2.07,1.45,6.8,,0.209,11.7,26.2,36.2,7.8
Nepal,4.48,75.0,202.2,223.8,190.2,129.7,56.9,19.0,,4.45,11.9,0.84,0.49,2.2,,0.232,11.7,25.3,38.4,2.6
Netherlands,1.65,8.0,52.5,111.1,105.1,40.6,11.0,1.4,,1.64,17.7,2.32,2.95,9.9,,0.125,14.5,30.2,35.6,1.5
Neth Antilles,2.06,34.0,93.6,123.2,99.4,44.5,15.0,1.4,,2.07,11.0,3.34,2.24,5.9,,0.130,9.8,27.9,35.3,3.7
New Caledonia,2.44,29.9,113.0,157.2,112.8,52.6,19.1,2.6,,2.43,12.8,2.94,2.53,2.5,,0.162,12.8,27.3,34.8,0.7
New Zealand,1.80,14.0,69.9,125.4,98.7,37.8,11.7,1.7,,1.78,16.0,2.32,2.84,6.1,,0.132,13.9,29.0,34.8,1.0
Nicaragua,3.09,92.8,152.9,153.3,119.1,66.2,27.1,6.5,,3.16,0.0,2.91,1.19,2.8,,0.164,3.4,25.1,35.9,2.4
Niger,7.00,199.1,300.7,302.5,276.8,192.2,89.2,38.7,,7.10,0.0,1.84,0.41,3.8,,0.318,0.6,25.3,39.4,4.1
