"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"householdDemography v.1.1 - kinship tabu for new couples.nlogo"
"exp-endstates"
"09/28/2025 23:09:47:634 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","type-of-experiment","exp-number","SEED","[step]","exp-number","SEED","maturity-age","initial-num-households","household-initial-age-distribution","max-couple-count-distribution","cdmlt-level","coale-demeny-region","c1-fert","mu-fert","sigma1-fert","sigma2-fert","residence-rule","acceptable-kinship-degree-for-couples","c1-women","c1-men","mu-women","mu-men","sigma1-women","sigma1-men","sigma2-women","sigma2-men","totalHouseholds","totalIndividuals","totalPopulationGrowth","totalWomen","totalMen","femaleRatio","womenAgeStructure","menAgeStructure","womenFirstAgeGroup","menFirstAgeGroup","womenBirths","menBirths","womenDeaths","menDeaths","womenIn","menIn","womenOut","menOut","totalOrphans"
"61","defined by exp-number","21","0","0","21","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"63","defined by exp-number","21","2","0","21","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"62","defined by exp-number","21","1","0","21","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"64","defined by exp-number","22","0","0","22","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"65","defined by exp-number","22","1","0","22","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"66","defined by exp-number","22","2","0","22","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"67","defined by exp-number","23","0","0","23","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"69","defined by exp-number","23","2","0","23","2","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"70","defined by exp-number","24","0","0","24","0","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
"68","defined by exp-number","23","1","0","23","1","15","50","0 30","1 6","23","south","0.09765625","26.1328125","8.8046875","7.6953125","patrilocal-patrilineal","8","0.0703125","0.8359375","17.5390625","19.8828125","16.8828125","8.2734375","1.1484375","4.1171875","0","0","0","0","0","","[]","[]","0","0","0","0","0","0","0","0","0","0","0"
