"BehaviorSpace results (NetLogo 6.0.4)"
"SIMPLE-crop-model.nlogo"
"experiment"
"01/13/2020 17:50:15:119 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","precipitation_daily-cum_rate2_yearly-mean","CO2-mean","solar_annual-min","precipitation_daily-cum_rate2_yearly-sd","CO2-daily-fluctuation","seed","precipitation_yearly-sd","solar_annual-max","precipitation_daily-cum_plateau-value_yearly-sd","precipitation_daily-cum_n-sample","precipitation_daily-cum_inflection1_yearly-sd","CO2-annual-deviation","precipitation_daily-cum_max-sample-size","precipitation_daily-cum_inflection2_yearly-sd","precipitation_daily-cum_inflection2_yearly-mean","temperature_daily-mean-fluctuation","temperature_annual-min-at-2m","solar_daily-mean-fluctuation","temperature_daily-lower-deviation","temperature_annual-max-at-2m","temperature_daily-upper-deviation","end-simulation-in-tick","precipitation_yearly-mean","precipitation_daily-cum_inflection1_yearly-mean","precipitation_daily-cum_rate1_yearly-mean","display-mode","precipitation_daily-cum_plateau-value_yearly-mean","precipitation_daily-cum_rate1_yearly-sd","type-of-experiment","[step]","T","T_max","T_min","RAIN","solarRadiation","ET_0","mean [WATp] of patches","mean [ARID] of patches","mean [biomass] of patches with [position crop typesOfCrops = 0]","mean [biomass] of patches with [position crop typesOfCrops = 1]","mean [yield] of patches with [position crop typesOfCrops = 0]","mean [yield] of patches with [position crop typesOfCrops = 1]"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","49","12.720321302360071","17.72032130236007","7.720321302360071","0","11.213383504229585","2.618147065202125","0.07427551815080316","0.7683882240913237","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","50","22.263291140614513","27.263291140614513","17.263291140614513","0","14.130601690090852","3.8564308416111595","0.07290506840832581","0.857853046118199","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","51","18.0161338686446","23.0161338686446","13.016133868644602","8.47037410501866","12.37599977992968","3.2116614137363984","0.09080922731846966","0.5925129170328768","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","52","22.776203434224982","27.776203434224982","17.776203434224982","0","18.097970720940822","4.648081424416035","0.08785154149589672","0.7454703949860628","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","53","25.166686687277547","30.166686687277547","20.166686687277547","0","18.78268933346542","5.001186277970886","0.08517779351229032","0.7861508982072306","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","54","23.018100793980555","28.018100793980555","18.018100793980555","0","15.648497305304423","4.204135430994584","0.08276072533510988","0.7700294658102389","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","55","17.46160521629879","22.46160521629879","12.46160521629879","0","15.169277387816102","3.63610402693598","0.08057569570294001","0.7596295797937453","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","56","20.56393758196388","25.56393758196388","15.56393758196388","0","6.168823735708604","2.2839192208144303","0.07860042891545758","0.6540566287142439","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","57","24.06146927286565","29.06146927286565","19.06146927286565","0","24.060865210216203","5.926132819226979","0.07681478773957295","0.8794734286014997","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","58","12.578029211533348","17.578029211533348","7.578029211533348","0","9.548695155784008","2.364606131320108","0.07520056811657476","0.7269364057517882","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","59","22.99823063056339","27.99823063056339","17.99823063056339","0","13.018703712695345","3.701906987576922","0.07374131357738299","0.8423240190433557","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","60","14.364459748164979","19.36445974816498","9.364459748164979","0","17.30944627433226","3.680856663267285","0.07242214747395438","0.8566457513444391","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","61","20.273852710672095","25.273852710672095","15.273852710672095","0","18.517377096461892","4.483801886294013","0.07122962131645492","0.8936147325201943","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","62","24.63749512510232","29.63749512510232","19.63749512510232","0","17.687281492012836","4.737299149694094","0.07015157767007478","0.9089739860359611","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","63","29.526808101699878","34.52680810169988","24.526808101699878","5.117833391543142","18.252226979043325","5.261752103337321","0.08074332967863566","0.8325400796513817","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","64","17.738267904257782","22.738267904257782","12.738267904257782","0","13.294152224539095","3.344903972666999","0.07875197002948651","0.7618634597080818","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","65","20.111141404429755","25.111141404429755","15.111141404429755","0","7.559400256432499","2.5103747258941596","0.07695178090665522","0.7131600945050977","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","66","16.299475353068427","21.299475353068427","11.299475353068427","0","10.74436652498373","2.8125832335179513","0.07532440993961739","0.7685585339988786","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","67","25.325408827530655","30.325408827530655","20.325408827530655","0","13.466030549944353","3.955690807354903","0.07385326658541325","0.8512377811260831","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","68","12.401092228716275","17.401092228716273","7.401092228716275","0","14.643264741781458","3.0906907946139297","0.07252335299321441","0.8278813792026896","0","0","0","0"
"1","0.05","250","3","0.01","1","0","130","7","0.05","200","20","2","10","20","200","5","15","1","5","40","5","0","400","40","0.15","crops","0.1","0.02","user-defined","69","26.885556052597817","31.885556052597817","21.885556052597817","0","12.061529086132216","3.775237615617527","0.07132111110586584","0.872618149133183","0","0","0","0"
